Date : 2024-06-30 09:28:01
Directory : e:\Workspace\Applications\talex-touch
Total : 388 files,  65473 codes, 2734 comments, 11192 blanks, all 79399 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Workspace\Applications\talex-touch\app\core\public\vite.svg                                                        | HTML               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\src\App.vue                                                            | Vue                |         56 |          2 |         16 |         74 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\docs\license.md                                             | Markdown           |         12 |          0 |         12 |         24 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\docs\protocol.md                                            | Markdown           |        197 |         15 |        136 |        348 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\logo.svg                                                    | HTML               |         18 |          0 |          1 |         19 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\compress-loading.json                               | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\empty.json                                          | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\hello.json                                          | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\lotties.json                                        | JSON               |         55 |          0 |          1 |         56 |
| e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\welcome.json                                        | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\src\auto-imports.d.ts                                                  | TypeScript         |         58 |          6 |          1 |         65 |
| e:\Workspace\Applications\talex-touch\app\core\src\base\axios.ts                                                      | TypeScript         |         60 |          8 |         18 |         86 |
| e:\Workspace\Applications\talex-touch\app\core\src\base\router.ts                                                     | TypeScript         |         69 |         54 |          6 |        129 |
| e:\Workspace\Applications\talex-touch\app\core\src\components.d.ts                                                    | TypeScript         |         13 |          5 |          3 |         21 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\addon\AgreementTemplate.vue                             | Vue                |         70 |          0 |         10 |         80 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\addon\TerminalTemplate.vue                              | Vue                |         53 |          0 |         11 |         64 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\AppUpgradationView.vue                             | Vue                |         46 |          1 |         15 |         62 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\EmptyAnimate.vue                                   | Vue                |         50 |          2 |         16 |         68 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\ProgressBar.vue                                    | Vue                |         68 |          3 |         16 |         87 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\button\FlatButton.vue                              | Vue                |         51 |          2 |         11 |         64 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\button\IconButton.vue                              | Vue                |        150 |          3 |         20 |        173 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\checkbox\TCheckBox.vue                             | Vue                |         59 |          0 |         14 |         73 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TBlowDialog.vue                             | Vue                |        153 |          1 |         46 |        200 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TBottomDialog.vue                           | Vue                |        249 |          3 |         71 |        323 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TDialogMention.vue                          | Vue                |        342 |          7 |        108 |        457 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TPopperDialog.vue                           | Vue                |        153 |          5 |         45 |        203 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TouchTip.vue                                | Vue                |        227 |          1 |         77 |        305 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\group\TBlockLine.vue                               | Vue                |         74 |          1 |         19 |         94 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\group\TBlockSlot.vue                               | Vue                |        103 |         12 |         30 |        145 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\group\TGroupBlock.vue                              | Vue                |        151 |          1 |         35 |        187 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatCodeInput.vue                            | Vue                |         68 |          0 |         19 |         87 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatCompletion.vue                           | Vue                |        123 |         17 |         27 |        167 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatInput.vue                                | Vue                |        144 |          1 |         33 |        178 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatKeyInput.vue                             | Vue                |         29 |          0 |          9 |         38 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatMarkdown.vue                             | Vue                |        136 |          2 |         44 |        182 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TBlockSelect.vue                            | Vue                |        125 |          4 |         26 |        155 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TLabelSelect.vue                            | Vue                |         81 |          0 |         20 |        101 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TLabelSelectItem.vue                        | Vue                |         37 |          0 |          7 |         44 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TSelect.vue                                 | Vue                |        168 |         13 |         38 |        219 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TSelectItem.vue                             | Vue                |         40 |          3 |          6 |         49 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\switch\TBlockSwitch.vue                            | Vue                |        131 |         33 |         36 |        200 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\switch\TSwitch.vue                                 | Vue                |         51 |          2 |         20 |         73 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\ActionTemplate.vue                        | Vue                |         30 |          0 |          6 |         36 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\BlockTemplate.vue                         | Vue                |         31 |          0 |          3 |         34 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\BrickTemplate.vue                         | Vue                |         26 |          0 |          3 |         29 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\FormTemplate.vue                          | Vue                |        108 |          0 |         29 |        137 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\LineTemplate.vue                          | Vue                |         77 |          1 |         16 |         94 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\ViewTemplate.vue                          | Vue                |         44 |          0 |         11 |         55 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\AppLogo.vue                                        | Vue                |          6 |          0 |          2 |          8 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\LoadingIcon.vue                                    | Vue                |         58 |          0 |         30 |         88 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\OSIcon.vue                                         | Vue                |         49 |          0 |          6 |         55 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\RemixAnimateIcon.vue                               | Vue                |         47 |          0 |          9 |         56 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\RemixIcon.vue                                      | Vue                |         28 |          2 |          4 |         34 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\lotties\LottieFrame.vue                            | Vue                |         38 |          0 |         10 |         48 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\icon\svg\IdentifiedIcon.vue                             | Vue                |         14 |          0 |          5 |         19 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\market\MarketItem.vue                                   | Vue                |         21 |          1 |          5 |         27 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\menu\TouchMenu.vue                                      | Vue                |         60 |          0 |         24 |         84 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\menu\TouchMenuItem.vue                                  | Vue                |         84 |          0 |         17 |        101 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginIcon.vue                                   | Vue                |        107 |          0 |         28 |        135 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginInfo.vue                                   | Vue                |        113 |          0 |         14 |        127 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginItem.vue                                   | Vue                |        156 |         30 |         39 |        225 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginView.vue                                   | Vue                |        135 |          8 |         41 |        184 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\action\PluginStatus.vue                          | Vue                |        170 |          1 |         35 |        206 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\action\mention\PluginApplyInstall.vue            | Vue                |         87 |          3 |         24 |        114 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\layout\PluginCard.vue                            | Vue                |        124 |          4 |         29 |        157 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\layout\PluginList.vue                            | Vue                |         76 |          0 |         23 |         99 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\layout\PluginListModule.vue                      | Vue                |        165 |          3 |         55 |        223 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TMenuItem.vue                                      | Vue                |        103 |          2 |         13 |        118 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TMenuTabs.vue                                      | Vue                |        108 |          4 |         40 |        152 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabHeader.vue                                     | Vue                |         28 |          4 |          8 |         40 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabItem.vue                                       | Vue                |         82 |          5 |         10 |         97 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabItemGroup.vue                                  | Vue                |          9 |          0 |          4 |         13 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabs.vue                                          | Vue                |        243 |         55 |        102 |        400 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\vertical\TvTabItem.vue                             | Vue                |         75 |          5 |         10 |         90 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\vertical\TvTabItemGroup.vue                        | Vue                |          5 |          0 |          0 |          5 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\vertical\TvTabs.vue                                | Vue                |        159 |         18 |         49 |        226 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\terminal\InteractiveTerminal.vue                        | Vue                |         62 |          4 |         17 |         83 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\terminal\LogTerminal.vue                                | Vue                |         70 |         12 |         27 |        109 |
| e:\Workspace\Applications\talex-touch\app\core\src\components\tree\FileTree.vue                                       | Vue                |        177 |          4 |         33 |        214 |
| e:\Workspace\Applications\talex-touch\app\core\src\env.d.ts                                                           | TypeScript         |         47 |          2 |          5 |         54 |
| e:\Workspace\Applications\talex-touch\app\core\src\main.ts                                                            | TypeScript         |         26 |          0 |          9 |         35 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\channel-core.ts                                    | TypeScript         |        146 |          2 |         33 |        181 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\main\index.ts                                      | TypeScript         |          3 |          0 |          2 |          5 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\main\node.ts                                       | TypeScript         |         28 |          0 |         10 |         38 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\main\shortcon.ts                                   | TypeScript         |         18 |          0 |          7 |         25 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\plugin-core\api.ts                                 | TypeScript         |         35 |         35 |         19 |         89 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\plugin-core\index.ts                               | TypeScript         |          2 |          0 |          2 |          4 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\storage\accounter.ts                               | TypeScript         |         81 |          1 |         16 |         98 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\storage\index.ts                                   | TypeScript         |        126 |          9 |         28 |        163 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\adopters\plugin-adpoter.ts                           | TypeScript         |         96 |          3 |         21 |        120 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\api\useAccount.ts                                    | TypeScript         |         32 |          0 |          4 |         36 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\api\useGeneralAPI.ts                                 | TypeScript         |         17 |          0 |         11 |         28 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\api\useUpdate.ts                                     | TypeScript         |        132 |          8 |         26 |        166 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\application-hooks.ts                                 | TypeScript         |        216 |         28 |         51 |        295 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\core-box.ts                                          | TypeScript         |         17 |          0 |          4 |         21 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\env-hooks.ts                                         | TypeScript         |         35 |          4 |         14 |         53 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\hooks\function-hooks.ts                                    | TypeScript         |         19 |          0 |          8 |         27 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\mention\dialog-mention.ts                                  | TypeScript         |        166 |         10 |         53 |        229 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\mousetrap-record.ts                                        | TypeScript         |         84 |         98 |         27 |        209 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\storage\AppStorage.ts                                      | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\storage\plugin-settings.ts                                 | TypeScript         |         29 |          0 |          3 |         32 |
| e:\Workspace\Applications\talex-touch\app\core\src\modules\storage\theme-style.ts                                     | TypeScript         |         57 |          2 |          9 |         68 |
| e:\Workspace\Applications\talex-touch\app\core\src\shims-vue.d.ts                                                     | TypeScript         |          5 |          0 |          0 |          5 |
| e:\Workspace\Applications\talex-touch\app\core\src\styles\element\index.scss                                          | SCSS               |          9 |          0 |          1 |         10 |
| e:\Workspace\Applications\talex-touch\app\core\src\styles\index.scss                                                  | SCSS               |        294 |         15 |         81 |        390 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\Market.vue                                              | Vue                |        216 |          1 |         42 |        259 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\Plugin.vue                                              | Vue                |        387 |          4 |        101 |        492 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\application\AppConfigure.vue                            | Vue                |        206 |          4 |         49 |        259 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\application\AppList.vue                                 | Vue                |        219 |          5 |         58 |        282 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\application\ApplicationEmpty.vue                        | Vue                |         97 |          0 |         19 |        116 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\application\ApplicationIndex.vue                        | Vue                |         61 |          0 |         15 |         76 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\Beginner.vue                                      | Vue                |        103 |          0 |         35 |        138 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\AccountDo.vue                            | Vue                |        157 |          0 |         36 |        193 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\Done.vue                                 | Vue                |         47 |          0 |         11 |         58 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\Forbidden.vue                            | Vue                |         46 |          0 |         12 |         58 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\Greeting.vue                             | Vue                |         42 |          0 |         11 |         53 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\License.vue                              | Vue                |         39 |          0 |         10 |         49 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\OptionMode.vue                           | Vue                |        146 |          1 |         31 |        178 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\begin\internal\Protocol.vue                             | Vue                |         39 |          0 |         11 |         50 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\home\HomeBanner.vue                                     | Vue                |         91 |          0 |         28 |        119 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\home\HomeContent.vue                                    | Vue                |         76 |          1 |         18 |         95 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\home\HomePage.vue                                       | Vue                |         28 |          0 |          7 |         35 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\home\TopPlugins.vue                                     | Vue                |        168 |          2 |         31 |        201 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\market\MarketSourceEditor.vue                           | Vue                |        230 |          6 |         41 |        277 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\plugin\PluginNew.vue                                    | Vue                |        195 |          2 |         28 |        225 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\plugin\ViewPlugin.vue                                   | Vue                |         53 |          2 |          8 |         63 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\settings\AppSettings.vue                                | Vue                |         63 |          5 |         21 |         89 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\settings\SettingAbout.vue                               | Vue                |        168 |          3 |         25 |        196 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\settings\SettingHeader.vue                              | Vue                |        252 |          6 |         64 |        322 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\settings\SettingLanguage.vue                            | Vue                |         37 |          0 |          4 |         41 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\settings\SettingTools.vue                               | Vue                |         76 |          0 |          7 |         83 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\settings\SettingUser.vue                                | Vue                |         32 |          0 |          3 |         35 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\styles\SectionItem.vue                                  | Vue                |        127 |          4 |         28 |        159 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\styles\ThemeStyle.vue                                   | Vue                |        120 |          1 |         12 |        133 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\styles\WindowSection.vue                                | Vue                |        204 |          8 |         65 |        277 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\base\styles\sub\ThemePreference.vue                          | Vue                |        122 |          1 |         22 |        145 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\box\BoxItem.vue                                              | Vue                |        149 |          4 |         42 |        195 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\box\CoreBox.vue                                              | Vue                |        282 |         40 |         76 |        398 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\box\search-box.ts                                            | TypeScript         |         81 |          1 |         27 |        109 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\box\search-core.ts                                           | TypeScript         |         99 |          5 |         30 |        134 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\box\tag\FileTag.vue                                          | Vue                |         63 |          0 |         19 |         82 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\layout\AppLayout.vue                                         | Vue                |        143 |          5 |         47 |        195 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\layout\flat\FlatController.vue                               | Vue                |        110 |          3 |         37 |        150 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\layout\flat\FlatLayout.vue                                   | Vue                |        104 |          1 |         29 |        134 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\layout\flat\FlatNavBar.vue                                   | Vue                |         99 |          0 |         20 |        119 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\account\AccountView.vue                               | Vue                |         41 |          1 |          9 |         51 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\account\EmailVerifyView.vue                           | Vue                |         40 |          1 |          8 |         49 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\account\EmailView.vue                                 | Vue                |         40 |          1 |         10 |         51 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\account\PasswordView.vue                              | Vue                |         75 |          3 |         17 |         95 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\account\Sign.vue                                      | Vue                |        272 |          6 |         83 |        361 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\account\SignSucceed.vue                               | Vue                |         33 |          1 |          3 |         37 |
| e:\Workspace\Applications\talex-touch\app\core\src\views\others\captcha\TouchCaptcha.vue                              | Vue                |        259 |          7 |         79 |        345 |
| e:\Workspace\Applications\talex-touch\app\core\tsconfig.json                                                          | JSON with Comments |         71 |          3 |          0 |         74 |
| e:\Workspace\Applications\talex-touch\app\core\tsconfig.node.json                                                     | JSON               |         10 |          0 |          1 |         11 |
| e:\Workspace\Applications\talex-touch\app\core\uno.config.ts                                                          | TypeScript         |         32 |         11 |          2 |         45 |
| e:\Workspace\Applications\talex-touch\app\core\vite.config.ts                                                         | TypeScript         |        112 |          7 |          4 |        123 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\cache\deps\_metadata.json                                   | JSON               |         23 |          0 |          0 |         23 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\cache\deps\chunk-VIOCOIKA.js                                | JavaScript         |      9,274 |        243 |          8 |      9,525 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\cache\deps\fighting-design.js                               | JavaScript         |      7,016 |        304 |        304 |      7,624 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\cache\deps\package.json                                     | JSON               |          3 |          0 |          1 |          4 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\cache\deps\vue.js                                           | JavaScript         |        296 |          1 |          1 |        298 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\config.ts                                                   | TypeScript         |         42 |         30 |          2 |         74 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\config\nav.ts                                               | TypeScript         |         17 |          6 |          1 |         24 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\config\sidebar.ts                                           | TypeScript         |         60 |         14 |          4 |         78 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\plugin\index.ts                                             | TypeScript         |          1 |          0 |          1 |          2 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\plugin\plugin-table.ts                                      | TypeScript         |          5 |          5 |          2 |         12 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\components\base\Logo.vue                              | Vue                |         60 |          1 |         21 |         82 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\components\base\TouchBubbles.vue                      | Vue                |         72 |          0 |         12 |         84 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\components\vp-home.vue                                | Vue                |        306 |          3 |         85 |        394 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\components\vp-search.vue                              | Vue                |         16 |          0 |          6 |         22 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\index.ts                                              | TypeScript         |         10 |         19 |          3 |         32 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\style\index.scss                                      | SCSS               |        166 |         11 |         46 |        223 |
| e:\Workspace\Applications\talex-touch\app\docs\.vitepress\theme\vite-env.d.ts                                         | TypeScript         |          5 |          1 |          2 |          8 |
| e:\Workspace\Applications\talex-touch\app\docs\CHANGELOG.md                                                           | Markdown           |         70 |          0 |         39 |        109 |
| e:\Workspace\Applications\talex-touch\app\docs\README.md                                                              | Markdown           |          4 |          0 |          4 |          8 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\about\changelog.md                                                | Markdown           |        121 |          0 |         54 |        175 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\about\team.md                                                     | Markdown           |         33 |          0 |          4 |         37 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\documents\account.md                                              | Markdown           |         31 |          0 |         21 |         52 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\documents\index.md                                                | Markdown           |         14 |          0 |         14 |         28 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\documents\start.md                                                | Markdown           |         36 |          0 |         26 |         62 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\hello.md                                                          | Markdown           |         34 |          0 |         17 |         51 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\api\event.md                                              | Markdown           |          5 |          0 |          2 |          7 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\config\init.md                                            | Markdown           |        107 |          0 |         52 |        159 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\config\manifest.md                                        | Markdown           |        122 |          0 |         62 |        184 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\feature\examples.md                                       | Markdown           |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\feature\index.md                                          | Markdown           |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\feature\overview.md                                       | Markdown           |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\introduction.md                                           | Markdown           |         39 |          0 |         15 |         54 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\plugins\preloadjs.md                                              | Markdown           |         41 |          0 |         27 |         68 |
| e:\Workspace\Applications\talex-touch\app\docs\docs\q-a\index.md                                                      | Markdown           |          2 |          0 |          2 |          4 |
| e:\Workspace\Applications\talex-touch\app\docs\images\assets\lotties\compress-loading.json                            | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\docs\images\assets\lotties\empty.json                                       | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\docs\images\assets\lotties\hello.json                                       | JSON               |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\app\docs\images\assets\lotties\lotties.json                                     | JSON               |         55 |          0 |          1 |         56 |
| e:\Workspace\Applications\talex-touch\app\docs\images\logo.svg                                                        | HTML               |         18 |          0 |          1 |         19 |
| e:\Workspace\Applications\talex-touch\app\docs\index.md                                                               | Markdown           |         11 |          0 |          3 |         14 |
| e:\Workspace\Applications\talex-touch\app\docs\package-lock.json                                                      | JSON               |      2,810 |          0 |          1 |      2,811 |
| e:\Workspace\Applications\talex-touch\app\docs\package.json                                                           | JSON               |         19 |          0 |          1 |         20 |
| e:\Workspace\Applications\talex-touch\app\docs\tsconfig.json                                                          | JSON with Comments |         28 |          1 |          0 |         29 |
| e:\Workspace\Applications\talex-touch\app\docs\vite.config.ts                                                         | TypeScript         |         17 |         32 |          3 |         52 |
| e:\Workspace\Applications\talex-touch\app\pc-app\dist-electron\main\index.js                                          | JavaScript         |         86 |          6 |          1 |         93 |
| e:\Workspace\Applications\talex-touch\app\pc-app\dist-electron\preload\index.mjs                                      | JavaScript         |         97 |          3 |          1 |        101 |
| e:\Workspace\Applications\talex-touch\auto-imports.d.ts                                                               | TypeScript         |         57 |          6 |          1 |         64 |
| e:\Workspace\Applications\talex-touch\commitlint.config.cts                                                           | TypeScript         |         54 |          0 |          1 |         55 |
| e:\Workspace\Applications\talex-touch\components.d.ts                                                                 | TypeScript         |          8 |          5 |          3 |         16 |
| e:\Workspace\Applications\talex-touch\package.json                                                                    | JSON               |         36 |          0 |          1 |         37 |
| e:\Workspace\Applications\talex-touch\packages\help\tree-generator.ts                                                 | TypeScript         |         32 |          0 |          7 |         39 |
| e:\Workspace\Applications\talex-touch\packages\test\nodemon.json                                                      | JSON               |         10 |          0 |          0 |         10 |
| e:\Workspace\Applications\talex-touch\packages\test\package.json                                                      | JSON               |         19 |          0 |          1 |         20 |
| e:\Workspace\Applications\talex-touch\packages\test\src\common\index.test.ts                                          | TypeScript         |         20 |          0 |          8 |         28 |
| e:\Workspace\Applications\talex-touch\packages\test\src\index.ts                                                      | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Workspace\Applications\talex-touch\packages\test\tsconfig.json                                                     | JSON with Comments |         17 |         84 |          9 |        110 |
| e:\Workspace\Applications\talex-touch\packages\test\vitest.config.ts                                                  | TypeScript         |          5 |          0 |          2 |          7 |
| e:\Workspace\Applications\talex-touch\packages\touch-view\README.md                                                   | Markdown           |         42 |          0 |         32 |         74 |
